"","MooseID","IDseas","distLSW","CentXW","CentYW","TOTALarea_km2","FrgHW","PrW","WtHW","aHabW","DevelW","EmWetW","WoodyWetW","OpenWaterW","ConFrstW","DecidFrstW","MixFrstW","RegenFrstW","GrassW","disturbed2000W","deerharvSQMI2012W","deerharvSQMI2032W","deerharvSQMI2014W","harvestAVEW","CTIforSTAN50_wetpercentW","CTISTANWetmeantW","mean.nomigW","median.nomigW","max.nomigW","sd.nomigW","mean.migW","median.migW","max.migW","sd.migW","CutArea2010W","CutArea2011W","CutArea2012W","CutArea2013W","CutArea2014W","CutArea2015W","CutArea2016W","max.snow.date.jul","min.snow.date.jul","RegenWetCTI","RegenWetCTI100","Season","deathyear","sex","PT","death.age","RecentDisturb","AllDisturb","DeerHabLidWt_fall","DeerHabLidWt_fall.devel","DeerHabLidWt_fall.emwet","DeerHabLidWt_fall.woodywet","DeerHabLidWt_fall.openwater","DeerHabLidWt_fall.decidfrst","DeerHabLidWt_fall.confrst","DeerHabLidWt_fall.mixfrst","DeerHabLidWt_fall.regenfrst","DeerHabLidWt_fall.grass","DeerHabLidWt_spring","DeerHabLidWt_spring.devel","DeerHabLidWt_spring.emwet","DeerHabLidWt_spring.woodywet","DeerHabLidWt_spring.confrst","DeerHabLidWt_spring.openwater","DeerHabLidWt_spring.decidfrst","DeerHabLidWt_spring.regenfrst","DeerHabLidWt_spring.mixfrst","DeerHabLidWt_spring.grass","DeerHabLidWt_summer","DeerHabLidWt_summer.devel","DeerHabLidWt_summer.emwet","DeerHabLidWt_summer.woodywet","DeerHabLidWt_summer.openwater","DeerHabLidWt_summer.confrst","DeerHabLidWt_summer.decidfrst","DeerHabLidWt_summer.mixfrst","DeerHabLidWt_summer.regenfrst","DeerHabLidWt_summer.grass","DeerHabLidWt.fallTOT","DeerHabLidWt.springTOT","DeerHabLidWt.summerTOT","DeerHabLidWt.TOTAL","PTN"
"1","11",NA,23593.8378054548,630043.202043551,5274045.6496601,296.557812040474,0.4156731415,0.1810578745,0.3307997,0.0724692835,0.01370582,0.023442349,0.262016789,0.025211447,0.1668928695,0.172068314,0.289738356,0.0299575065,0.01696655,0.0806393546607011,0.256595,0.264225,0.0886663,0.2031621,0.0465602929363668,0.235205359814022,0.200726493833948,0.173990690669238,0.925598878470371,0.276142633257605,0.619953909996956,0.669487102291708,1.65505582177057,0.486921109891323,0,0,0.000890752777806266,0,0,0.000650622175891231,0.000989100876302226,120,72,6.53918578389054e-05,0.00653918578389054,NA,NA,NA,NA,7,0.000890752777806266,0.0815301074385074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0815301074385074,0.00603047771618657,0.00584098021525305,0.0827947341643948,0
"2","13",NA,18778.4763987763,659810.628083268,5296423.18880538,21.1076097591467,0.400342359528304,0.354754357031603,0.212541779580237,0.0323615036426952,0.00481641395363935,0.0857282682116054,0.210672255016806,0.138189814579484,0.515086409083678,0.0407205664881214,0.004163049,0.000623224333333333,0,0.00792790471515194,0.603864978163645,0.659382839842278,0.265378005127879,0.509541941044601,0.0438732324252992,0.246509269296653,0.207058624594527,0.179073423095809,0.913628457838897,0.220783842123999,0.717983362087658,0.82434237132028,1.53371116534205,0.410248103681196,3.66545423658297e-05,0.000395869057550961,0,0,0,0,0,130.333333333333,42.3333333333333,0,0,NA,NA,NA,NA,11,0.00043252359991679,0.00836042831506873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00842768387524734,0.00199166233814556,0.00213303619376554,0.00889970527917482,1
"3","15",NA,24829.7034721117,626367.741314255,5272100.78349836,21.3967123359162,0.427847647096133,0.0354961783067432,0.521028861356016,0.01562731421913,0.0395116185038771,0.272038554041194,0.0894012772272282,0.0217300020216751,0.142523203477458,0.287602053371306,0.137634372285764,0.000690366439514552,0.00886855296531651,0.19162972296762,0.306174148923183,0.296000582908358,0.108402172489597,0.236858968107046,0.0149273175366053,0.223834487057955,0.188960706429766,0.151626105706592,0.896600852118384,0.271612069365495,0.442921008784198,0.259818108184199,1.46366036552094,0.501078581395059,0,0,0,0,0,0,0,118.666666666667,82.3333333333333,0.000750395167787319,0.0750395167787319,NA,NA,NA,NA,4,0,0.19162972296762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193489120712566,0.0177731823551335,0.0148256566811286,0.196597993708847,0
"4","151",NA,13020.6168907056,685736.670736548,5300950.28768935,20.5691499315448,0.4484488345,0.385045258,0.13587801,0.0306278975,0.0236971205,0.025459723,0.112145148,0.0078509695,0.4301432105,0.122673479,0.175576548,0.0371383695,0.065315432,0.034353727320719,0.700198,0.769,0.314398,0.594532,0.0241338942117834,0.219641023888987,0.254642244158887,0.179813000363246,0.922542133005275,0.292333834141941,0.778597638424456,0.799977989182624,1.66152602756753,0.373962904949203,0.00116530025728548,0,0.00621698209334094,0,0,0,0,112,113,0.00124266651542604,0.124266651542604,NA,NA,NA,NA,11,0.00738228235062642,0.0417360096713455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0417360096713455,0.0108954201923598,0.00959148183213328,0.0437667802115013,0
"5","156",NA,32130.8708698082,598899.980360225,5250186.78544428,100.329898278847,0.494876619076014,0.122478083394166,0.350380056047645,0.03226524120585,0.0042925976061264,0.0843048871472597,0.13942693516248,0.0447904063063182,0.101858615784762,0.323894835684966,0.20600541011522,0.0693545191399956,0.0260717933862064,0.106375946496658,0.876335,0.728595,0.388362,0.664430666666667,0.0525598651002602,0.255593865005479,0.289109375403866,0.250694555741314,0.925329059884276,0.312783674093021,0.627514868590305,0.761403024607002,1.62673941674086,0.506794902688059,0.00249274489472744,0.000183394931322689,0,0,0,0.00120576846268381,0,105.333333333333,38.6666666666667,0.00296871273260681,0.296871273260681,NA,NA,NA,NA,12,0.00267613982605013,0.109052086322709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111846296472419,0.000673923871406973,0.000750977885094056,0.112033047296458,0
"6","157",NA,4639.23868523549,654462.668191809,5272641.6829849,60.5066983007516,0.672477969808663,0.146490516872605,0.170567405397909,0.0104641079208234,0.00952698057349476,0.0563831200826078,0.108964888661218,0.0466351936414535,0.345390489138671,0.240221910639721,0.173045169596167,0.006920192,0.0129120553333333,0.00244695769080171,0.700198,0.769,0.314398,0.594532,0.0302830686637759,0.22351913256946,0.340743319301832,0.418287977455169,0.877210222109602,0.266926659116361,0.789932219409688,0.940169746729265,1.52275692378721,0.369604300682045,0,0,0,0,0,0,0,110.333333333333,24.6666666666667,2.4309755558069e-05,0.0024309755558069,NA,NA,NA,NA,5,0,0.00244695769080171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00452689926644729,0.00392978830227209,0.00256219949818896,0.00503677887947131,0
"7","158",NA,36799.4138200324,607393.551481284,5268198.28113815,100.535752113147,0.185250678333333,0.155978423333333,0.493341068333333,0.16542983,0.020171304,0.173293367,0.226293602333333,0.025114446,0.0909557503333333,0.070434556,0.116220084,0.179363076333333,0.098153813,0.133532330739934,0.256595,0.264225,0.0886663,0.2031621,0.0867796598978665,0.323359604057397,0.231705314225609,0.092911384058492,0.925623781780361,0.364942528264068,0.400251456926581,0.236046648221566,1.63951942630203,0.464387668463695,0,0,0.00456955740410534,0,0,0,0,107,33,0.00737996214872562,0.737996214872562,NA,NA,NA,NA,10,0.00456955740410534,0.138101888144039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152477787878357,0.00358862135744657,0.00200542977758771,0.152942005101436,1
"8","161",NA,78330.0095071421,578001.63620886,5297800.1049592,48.7632999956419,0.3029007315,0.2467820615,0.404856582,0.045460625,0.00480644,0.1416319855,0.186920865,0.053939714,0.1606731325,0.066188976,0.1973599285,0.1662755055,0.0222034535,0.0147033085360581,0.570777,0.566398,0.377871,0.505015333333333,0.0167383260976033,0.220559208082219,0.155107959747822,0.116569557290649,0.925536524383241,0.264081586774128,0.572734517589145,0.64564968278433,1.66060162948961,0.489841568692177,0.000282223954686888,0.00101162771342456,0.000310581477577123,0.0010204819977534,0.000828217273538994,0.00140136815415375,0.000118316753362713,120,49,0.0105607007969733,1.05607007969733,NA,NA,NA,NA,13,0.00345313241698097,0.0181564409530391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181564409530391,0.00336896781997611,0.00069082458622146,0.0181832918670373,0
"9","178",NA,11813.6238729048,667092.336917711,5292443.76737984,181.20063854639,0.530562280620503,0.180487345620831,0.208153645106773,0.0807967287864036,0.0148284756975647,0.0150702303948357,0.174693830870111,0.0456419412770841,0.203273940272099,0.262750178852344,0.241055641330689,0.011319686660467,0.0313660755102952,0.0432620226705965,0.700198,0.769,0.314398,0.594532,0.0537058492759691,0.231061626834694,0.262643123650466,0.254629496724743,0.925566234486319,0.259191003147212,0.734972539754385,0.895943619999619,1.65369574924512,0.472701594986759,0.00158618755642975,0.00124410616095847,0,0,0,0,0.000317356144826807,149,36,0.000444554274076199,0.0444554274076199,NA,NA,NA,NA,9,0.00283029371738822,0.0460923163879847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0503209491889303,0.0035458366788996,0.00592159215556599,0.051751154194013,0
"10","181",NA,44983.5677874347,593028.526256474,5262937.74895801,61.7438372462099,0.12883376453431,0.287122015202017,0.513945115848559,0.0700991040019776,0.00501602058909278,0.060965435834793,0.392404500608381,0.0169554555427603,0.142809676088095,0.0924022955334952,0.143072851306516,0.096068759168433,0.0503050059152969,0.0260058568137761,0.876335,0.728595,0.388362,0.664430666666667,0.126061405631784,0.32552283346257,0.135854534710766,0.0791161848930389,0.925582631382457,0.255181172919049,0.350659336479501,0.334849337596363,1.5531710556721,0.438868033492807,0,0,0,0.00411886836747044,0,0.000101118529276834,0,112,42.5,0.00505141754963264,0.505141754963264,NA,NA,NA,NA,14,0.00421998689674728,0.0302258437105233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315251062785485,0.000647915603261374,0.00271241816642094,0.0322208888969155,0
"11","19",NA,82882.6772710524,575614.238172067,5302078.98428901,49.8131485301598,0.457648308666667,0.069610272,0.407925483,0.0648159363333333,0.00535647533333333,0.153287594,0.157226891333333,0.00884252533333333,0.0147683,0.0616000956666667,0.171167216666667,0.364333499333333,0.0634174036666667,0.026750213991923,0.570777,0.566398,0.377871,0.505015333333333,0.0247734604267081,0.21568101343177,0.24125043279288,0.235914145318878,0.925551562157601,0.303068287225183,0.558549211879003,0.604067905544656,1.74651141860681,0.494893014382767,0,0.00203661732556425,0.00113121049734274,0.00264659694973251,0.000130328248088586,0.00200370222219052,0.00111610574903654,120,41,0.0156131310394106,1.56131310394106,NA,NA,NA,NA,9,0.0058144247726395,0.0325646387645625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036685869098406,0.000791000290395892,0.00044770062807252,0.0367963256934846,1
"12","192",NA,30224.8108044007,602159.204984193,5250774.68075943,27.9013904934483,0.309773179666667,0.164933990333333,0.504858747,0.020434083,0.006270878,0.100635132333333,0.300540728333333,0.083642758,0.113477992333333,0.292766062,0.0728507293333333,0.0159748896666667,0.0138408303333333,0.00294269247668286,1.27842666666667,0.956653333333333,0.448983,0.894687666666668,0.110969164875387,0.296276320687077,0.150573262948698,0.0923595189900356,0.925599070018557,0.254546403597721,0.42587762323482,0.438683454388305,1.59451487889405,0.49470771115447,0.00070421158639557,0.000416796812601787,0,0,0,0,0,120,63,0.00169105888261408,0.169105888261408,NA,NA,NA,NA,3,0.00112100839899736,0.00406370087568021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00745568988252386,0.000842642494053775,0.00184159192045271,0.0079269692725154,1
"13","200",NA,29970.0582458517,601409.564893943,5249616.61963881,71.4713936182132,0.362209303154731,0.169964551980457,0.375425688213128,0.0924004566516844,0.0644906071163347,0.0275687579531549,0.257679562935092,0.0218635318874719,0.124828674292729,0.0730174120254828,0.194977396895198,0.127045043989974,0.108476399726187,0.0813707987438038,0.876335,0.728595,0.388362,0.664430666666667,0.0542344868722433,0.269353065497151,0.253989457812363,0.181460662966942,0.921185176671509,0.320891801026992,0.54998865387781,0.690850682710426,1.62742205073908,0.493964188696217,0.0033858461603551,0.00116653897224937,0,0,0,0.00637065096405211,0,77.8333333333333,71,0.00491406424165952,0.491406424165952,NA,NA,NA,NA,10,0.0109230360966566,0.0922938348404604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116955530003546,0.0229023751024841,0.012284730982121,0.119314921475683,0
"14","202",NA,20685.4893306285,607782.486013049,5242904.78996081,87.1165593368096,0.468228245666667,0.062637802,0.454708382333333,0.01442557,0.0342412156666667,0.290625750333333,0.103725364333333,0.001769222,0.186655686666667,0.305705407666667,0.0397761133333333,0.012368134,0.0251331063333333,0.0875453838242073,2.08261,1.41277,0.570225,1.35520166666667,0.032035113966522,0.250261006907102,0.211391357530161,0.216177296658774,0.904540120726347,0.260011965174318,0.544327526852926,0.569649418410824,1.56515733680371,0.521339087745538,0,0,0,0,0,0,0,85.3333333333333,61.3333333333333,0.00049815563915602,0.049815563915602,NA,NA,NA,NA,8,0,0.0875453838242073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0886720927744917,0.0117521358372501,0.0172143551440269,0.0926852238832642,0
"15","205",NA,4281.10347788638,671028.992426737,5283319.71660684,229.251681636604,0.652968971666667,0.175922734,0.15650228,0.014606014,0.0124895356666667,0.0143677846666667,0.137811836666667,0.00859121866666667,0.107280562333333,0.491886730333333,0.216131921666667,0.00750155,0.00393886033333333,0.00830951247313313,0.700198,0.769,0.314398,0.594532,0.0379745675150429,0.219521308662918,0.306941591169943,0.414507463548626,0.919874498845733,0.24354467893166,0.805320962898292,0.964152072197688,1.67820262057204,0.372087874431798,0.000404097244394537,0,0,0,0,0,0,112,89,0.000128674569260883,0.0128674569260883,NA,NA,NA,NA,10,0.000404097244394537,0.00871360971752766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0120279989913106,0.00340885415519854,0.00474221720865741,0.0131465515391876,0
"16","31",NA,18892.3787727179,691638.1726216,5310879.43745207,30.3549108364239,0.673422478666667,0.235334881333333,0.0432213256666667,0.0480213146666667,0.0426435443333333,0.0872778313333333,0.22232995,0.311746700333333,0.172508428,0.0827645663333333,0.0807289796666667,0,0,0.014675396218563,0.700198,0.769,0.314398,0.594532,0.0504744487624644,0.186837512932996,0.256044682672295,0.25627926454745,0.858452898790831,0.192423905073215,0.915715407679696,0.968024856000608,1.562393793986,0.302180695908809,0,0,0,0,7.65859593040762e-05,0,0,120,41,0,0,NA,NA,NA,NA,3,0,0.014675396218563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0368154943021072,0.0155764242632157,0.00265893836685316,0.0369525365507394,1
"17","58",NA,14071.9084463845,648987.153816755,5282452.449553,23.705212261282,0.670590871666667,0.114953939666667,0.193033405666667,0.0214217833333333,0.0561998343333333,0.193173358666667,0.085406484,0.232428490666667,0.11300531,0.195527975333333,0.119828135,0.004430412,0,0.0429194879944234,0.404462666666667,0.432483333333333,0.1639102,0.333618733333333,0.0282799754682201,0.239771288420453,0.354123648796586,0.379310851657517,0.866566722688284,0.242864844378278,0.842122419581162,0.915758203953423,1.6167108921727,0.439732030800524,0,0,0,0,0,0,0,120,31,0,0,NA,NA,NA,NA,3,0,0.0429194879944234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0495449382475063,0.0330385446440115,0.00927981667007389,0.0505163141274081,0
"18","90",NA,18991.6226253515,674121.872422468,5301908.19749156,5.61519227903051,0.733660131,0.027777778,0.238562092,0,0.017713366,0.112721417,0.18115942,0.280595813,0.289049919,0.107487923,0.011272142,0,0,0,0.700198,0.769,0.314398,0.594532,0.036634460547504,0.222170676105864,0.319480177899923,0.359879203079198,0.740652234921543,0.248828404097245,0.776280312967596,0.944256379151112,1.33226909247601,0.42607644216799,0,0,0,0,0,0,0,136,41,0.00356708009912727,0.356708009912727,NA,NA,NA,NA,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00070112834240744,0.000178141785873359,0.00181361221213622,0.00477464851865426,0.000168628375079614,0.0024508267992531,0.00262668101922182,0.0050827353360537,0.00222349915781562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0127136670526258,0.00222349915781562,0,0
