"","ID","X","Y","X.1","Y.1","deerharvSQMI2012","deerharvSQMI2013","deerharvSQMI2014","harvestAVE"
"1","X13_2013_Fall.X13_BB90",660079.409038082,5296188.66275188,660079.409038082,5296188.66275188,0.700198,0.769,0.314398,0.594532
"2","X15_2013_Fall.X15_BB90",627079.562031165,5271590.35728611,627079.562031165,5271590.35728611,0.256595,0.264225,0.0886663,0.2031621
"3","X156_2014_Fall.X156_BB90",599583.777894921,5250259.93997403,599583.777894921,5250259.93997403,0.876335,0.728595,0.388362,0.664430666666667
"4","X157_2016_Fall.X157_BB90",653360.519529472,5274146.7406825,653360.519529472,5274146.7406825,0.700198,0.769,0.314398,0.594532
"5","X158_2016_Fall.X158_BB90",607260.340082943,5267767.26785133,607260.340082943,5267767.26785133,0.256595,0.264225,0.0886663,0.2031621
"6","X178_2014_Fall.X178_BB90",669477.214698057,5291894.30035048,669477.214698057,5291894.30035048,0.700198,0.769,0.314398,0.594532
"7","X181_2015_Fall.X181_BB90",582824.244672229,5260213.78711817,582824.244672229,5260213.78711817,0.876335,0.728595,0.388362,0.664430666666667
"8","X19_2013_Fall.X19_BB90",575392.244550729,5302682.06514126,575392.244550729,5302682.06514126,0.570777,0.566398,0.377871,0.505015333333333
"9","X192_2015_Fall.X192_BB90",605218.671550412,5245890.13326838,605218.671550412,5245890.13326838,2.08261,1.41277,0.570225,1.35520166666667
"10","X200_2015_Fall.X200_BB90",600473.936792323,5248715.22018735,600473.936792323,5248715.22018735,0.876335,0.728595,0.388362,0.664430666666667
"11","X202_2015_Fall.X202_BB90",606623.838056303,5237688.40050612,606623.838056303,5237688.40050612,2.08261,1.41277,0.570225,1.35520166666667
"12","X205_2015_Fall.X205_BB90",664609.642962169,5280500.47548331,664609.642962169,5280500.47548331,0.700198,0.769,0.314398,0.594532
"13","X31_2013_Fall.X31_BB90",691491.784899533,5311468.75994711,691491.784899533,5311468.75994711,0.700198,0.769,0.314398,0.594532
"14","X58_2013_Fall.X58_BB90",649423.426502676,5281874.68795172,649423.426502676,5281874.68795172,0.700198,0.769,0.314398,0.594532
"15","X11_2013_Spring.X11_BB90",631894.62539869,5275355.99850861,631894.62539869,5275355.99850861,0.256595,0.264225,0.0886663,0.2031621
"16","X13_2013_Spring.X13_BB90",660841.292863859,5294079.42450399,660841.292863859,5294079.42450399,0.700198,0.769,0.314398,0.594532
"17","X13_2014_Spring.X13_BB90",656804.275332199,5295053.75152971,656804.275332199,5295053.75152971,0.256595,0.264225,0.0886663,0.2031621
"18","X15_2013_Spring.X15_BB90",627091.44589173,5272055.25209634,627091.44589173,5272055.25209634,0.256595,0.264225,0.0886663,0.2031621
"19","X15_2014_Spring.X15_BB90",575199.925160458,5271955.3821293,575199.925160458,5271955.3821293,2.51244,1.71001,0.986646,1.73636533333333
"20","X151_2014_Spring.X151_BB90",686024.656194854,5300855.78250813,686024.656194854,5300855.78250813,0.700198,0.769,0.314398,0.594532
"21","X156_2014_Spring.X156_BB90",596294.029955265,5248728.02870348,596294.029955265,5248728.02870348,0.876335,0.728595,0.388362,0.664430666666667
"22","X156_2015_Spring.X156_BB90",596442.213767309,5248665.75286768,596442.213767309,5248665.75286768,0.876335,0.728595,0.388362,0.664430666666667
"23","X157_2016_Spring.X157_BB90",655290.907061698,5271856.18436175,655290.907061698,5271856.18436175,0.700198,0.769,0.314398,0.594532
"24","X157_2017_Spring.X157_BB90",653839.00639322,5273282.4636595,653839.00639322,5273282.4636595,0.700198,0.769,0.314398,0.594532
"25","X158_2016_Spring.X158_BB90",607409.503477773,5268734.71167889,607409.503477773,5268734.71167889,0.256595,0.264225,0.0886663,0.2031621
"26","X161_2015_Spring.X161_BB90",577794.818887731,5299082.84775553,577794.818887731,5299082.84775553,0.570777,0.566398,0.377871,0.505015333333333
"27","X178_2015_Spring.X178_BB90",667694.367447695,5291616.67097645,667694.367447695,5291616.67097645,0.700198,0.769,0.314398,0.594532
"28","X181_2016_Spring.X181_BB90",598642.067038958,5264765.06701221,598642.067038958,5264765.06701221,0.876335,0.728595,0.388362,0.664430666666667
"29","X19_2013_Spring.X19_BB90",575757.333384934,5302771.84330384,575757.333384934,5302771.84330384,0.570777,0.566398,0.377871,0.505015333333333
"30","X192_2015_Spring.X192_BB90",599875.812509274,5254338.34306104,599875.812509274,5254338.34306104,0.876335,0.728595,0.388362,0.664430666666667
"31","X200_2015_Spring.X200_BB90",601165.665823219,5250714.43458502,601165.665823219,5250714.43458502,0.876335,0.728595,0.388362,0.664430666666667
"32","X200_2016_Spring.X200_BB90",601894.597479203,5249817.14767437,601894.597479203,5249817.14767437,0.876335,0.728595,0.388362,0.664430666666667
"33","X202_2016_Spring.X202_BB90",608180.127496102,5245410.91063021,608180.127496102,5245410.91063021,2.08261,1.41277,0.570225,1.35520166666667
"34","X205_2015_Spring.X205_BB90",667786.249132602,5282342.76751686,667786.249132602,5282342.76751686,0.700198,0.769,0.314398,0.594532
"35","X31_2013_Spring.X31_BB90",692184.735610371,5310303.50943651,692184.735610371,5310303.50943651,0.700198,0.769,0.314398,0.594532
"36","X58_2013_Spring.X58_BB90",648441.106600147,5282617.1841692,648441.106600147,5282617.1841692,0.256595,0.264225,0.0886663,0.2031621
"37","X90_2013_Spring.X90_BB90",674121.872422468,5301908.19749156,674121.872422468,5301908.19749156,0.700198,0.769,0.314398,0.594532
"38","X11_2013_Summer.X11_BB90",628191.778688412,5272735.30081159,628191.778688412,5272735.30081159,0.256595,0.264225,0.0886663,0.2031621
"39","X13_2013_Summer.X13_BB90",661141.223835621,5298366.72330891,661141.223835621,5298366.72330891,0.700198,0.769,0.314398,0.594532
"40","X15_2013_Summer.X15_BB90",628353.644487941,5272663.32596393,628353.644487941,5272663.32596393,0.256595,0.264225,0.0886663,0.2031621
"41","X151_2014_Summer.X151_BB90",685448.685278241,5301044.79287057,685448.685278241,5301044.79287057,0.700198,0.769,0.314398,0.594532
"42","X156_2014_Summer.X156_BB90",600796.789991545,5251583.03842321,600796.789991545,5251583.03842321,0.876335,0.728595,0.388362,0.664430666666667
"43","X157_2016_Summer.X157_BB90",654742.221124025,5271916.58035391,654742.221124025,5271916.58035391,0.700198,0.769,0.314398,0.594532
"44","X158_2016_Summer.X158_BB90",607510.810883137,5268092.86388423,607510.810883137,5268092.86388423,0.256595,0.264225,0.0886663,0.2031621
"45","X161_2015_Summer.X161_BB90",578208.45352999,5296517.36216287,578208.45352999,5296517.36216287,0.570777,0.566398,0.377871,0.505015333333333
"46","X178_2014_Summer.X178_BB90",658801.720042885,5297374.04617659,658801.720042885,5297374.04617659,0.700198,0.769,0.314398,0.594532
"47","X178_2015_Summer.X178_BB90",667693.581746101,5291416.11218286,667693.581746101,5291416.11218286,0.700198,0.769,0.314398,0.594532
"48","X181_2015_Summer.X181_BB90",593629.599998469,5263295.74896003,593629.599998469,5263295.74896003,0.876335,0.728595,0.388362,0.664430666666667
"49","X181_2016_Summer.X181_BB90",598875.091320202,5264003.94121021,598875.091320202,5264003.94121021,0.876335,0.728595,0.388362,0.664430666666667
"50","X19_2013_Summer.X19_BB90",575693.136580537,5300783.04442193,575693.136580537,5300783.04442193,0.570777,0.566398,0.377871,0.505015333333333
"51","X192_2015_Summer.X192_BB90",601383.130892894,5252095.56594887,601383.130892894,5252095.56594887,0.876335,0.728595,0.388362,0.664430666666667
"52","X200_2015_Summer.X200_BB90",601881.677471208,5250291.00437801,601881.677471208,5250291.00437801,0.876335,0.728595,0.388362,0.664430666666667
"53","X202_2015_Summer.X202_BB90",608543.492486743,5245615.0587461,608543.492486743,5245615.0587461,2.08261,1.41277,0.570225,1.35520166666667
"54","X205_2015_Summer.X205_BB90",680691.085185441,5287115.90682035,680691.085185441,5287115.90682035,0.700198,0.769,0.314398,0.594532
"55","X31_2013_Summer.X31_BB90",691237.997354896,5310866.04297258,691237.997354896,5310866.04297258,0.700198,0.769,0.314398,0.594532
"56","X58_2013_Summer.X58_BB90",649096.928347443,5282865.47653807,649096.928347443,5282865.47653807,0.256595,0.264225,0.0886663,0.2031621
